#K-Path      Energy-Level
# NKPTS & NBANDS: 180  96
# Band-Index    1
   2.26893    -21.647975
   2.26847    -21.647975
   2.26800    -21.647973
   2.26753    -21.647973
   2.26707    -21.647973
   2.26660    -21.647973
   2.26613    -21.647973
   2.26567    -21.647973
   2.26520    -21.648005
   2.26473    -21.648005
   2.26427    -21.648005
   2.26380    -21.648005
   2.26333    -21.648005
   2.26287    -21.648005
   2.26240    -21.648005
   2.26193    -21.648005
   2.26147    -21.648005
   2.26100    -21.648005
   2.26100    -21.648005
   2.21601    -21.648018
   2.17101    -21.648145
   2.12602    -21.648364
   2.08103    -21.648658
   2.03603    -21.649018
   1.99104    -21.649468
   1.94604    -21.649983
   1.90105    -21.650506
   1.85606    -21.651055
   1.81106    -21.651695
   1.76607    -21.652277
   1.72108    -21.652866
   1.67608    -21.653470
   1.63109    -21.653933
   1.58609    -21.654277
   1.54110    -21.654555
   1.49611    -21.654837
   1.45111    -21.655016
   1.40612    -21.655078
   1.40612    -21.655078
   1.36888    -21.655101
   1.33164    -21.655029
   1.29440    -21.654978
   1.25715    -21.654885
   1.21991    -21.654993
   1.18267    -21.655058
   1.14543    -21.654996
   1.10819    -21.654931
   1.07095    -21.654930
   1.03371    -21.654815
   0.99647    -21.654871
   0.95923    -21.654804
   0.92199    -21.654771
   0.88475    -21.654717
   0.84750    -21.654626
   0.81026    -21.654638
   0.77302    -21.654603
   0.73578    -21.654586
   0.69854    -21.654631
   0.69854    -21.654631
   0.69807    -21.654631
   0.69761    -21.654631
   0.69714    -21.654631
   0.69667    -21.654631
   0.69621    -21.654631
   0.69574    -21.654631
   0.69527    -21.654631
   0.69481    -21.654631
   0.69434    -21.654631
   0.69387    -21.654631
   0.69341    -21.654631
   0.69294    -21.654612
   0.69247    -21.654612
   0.69201    -21.654612
   0.69154    -21.654612
   0.69107    -21.654612
   0.69061    -21.654612
   0.69014    -21.654612
   0.68968    -21.654612
   0.68968    -21.654612
   0.65338    -21.654571
   0.61708    -21.654507
   0.58078    -21.654517
   0.54448    -21.654574
   0.50818    -21.654664
   0.47188    -21.654713
   0.43558    -21.654740
   0.39929    -21.654802
   0.36299    -21.654828
   0.32669    -21.654910
   0.29039    -21.654951
   0.25409    -21.654875
   0.21779    -21.654913
   0.18149    -21.654910
   0.14519    -21.654931
   0.10890    -21.654960
   0.07260    -21.655017
   0.03630    -21.655052
   0.00000    -21.655078
 
 
# Band-Index    3
   0.00000    -19.416997
   0.03630    -19.416942
   0.07260    -19.416892
   0.10890    -19.416795
   0.14519    -19.416743
   0.18149    -19.416649
   0.21779    -19.416616
   0.25409    -19.416585
   0.29039    -19.416536
   0.32669    -19.416513
   0.36299    -19.416472
   0.39929    -19.416415
   0.43558    -19.416335
   0.47188    -19.416319
   0.50818    -19.416347
   0.54448    -19.416305
   0.58078    -19.416169
   0.61708    -19.416106
   0.65338    -19.416244
   0.68968    -19.416276
   0.68968    -19.416276
   0.69014    -19.416276
   0.69061    -19.416276
   0.69107    -19.416276
   0.69154    -19.416276
   0.69201    -19.416276
   0.69247    -19.416276
   0.69294    -19.416276
   0.69341    -19.416295
   0.69387    -19.416295
   0.69434    -19.416295
   0.69481    -19.416295
   0.69527    -19.416295
   0.69574    -19.416295
   0.69621    -19.416295
