#K-Path      Energy-Level
# NKPTS & NBANDS: 400  96
# Band-Index    1
   1.50924    -21.529126
   1.51424    -21.529091
   1.51923    -21.529057
   1.52423    -21.529007
   1.52923    -21.529013
   1.53423    -21.528980
   1.53922    -21.528949
   1.54422    -21.528918
   1.54922    -21.528928
   1.55422    -21.528873
   1.55921    -21.528845
   1.56421    -21.528838
   1.56921    -21.528811
   1.57421    -21.528785
   1.57920    -21.528760
   1.58420    -21.528736
   1.58920    -21.528713
   1.59419    -21.528691
   1.59919    -21.528670
   1.60419    -21.528632
   1.60919    -21.528613
   1.61418    -21.528561
   1.61918    -21.528544
   1.62418    -21.528528
   1.62918    -21.528513
   1.63417    -21.528499
   1.63917    -21.528538
   1.64417    -21.528527
   1.64917    -21.528544
   1.65416    -21.528535
   1.65916    -21.528545
   1.66416    -21.528538
   1.66916    -21.528533
   1.67415    -21.528529
   1.67915    -21.528526
   1.68415    -21.528524
   1.68914    -21.528524
   1.68914    -21.528524
   1.69780    -21.528524
   1.70646    -21.528526
   1.71511    -21.528497
   1.72377    -21.528501
   1.73242    -21.528506
   1.74108    -21.528487
   1.74973    -21.528495
   1.75839    -21.528491
   1.76705    -21.528501
   1.77570    -21.528536
   1.78436    -21.528548
   1.79301    -21.528562
   1.80167    -21.528577
   1.81032    -21.528599
   1.81898    -21.528598
   1.82764    -21.528598
   1.83629    -21.528609
   1.84495    -21.528649
   1.85360    -21.528646
   1.86226    -21.528654
   1.87091    -21.528706
   1.87957    -21.528685
   1.88823    -21.528713
   1.89688    -21.528742
   1.90554    -21.528782
   1.91419    -21.528797
   1.92285    -21.528840
   1.93150    -21.528874
   1.94016    -21.528909
   1.94882    -21.528946
   1.95747    -21.528964
   1.96613    -21.528977
   1.97478    -21.528988
   1.98344    -21.529030
   1.99209    -21.529125
   2.00075    -21.529196
   2.00941    -21.529242
   2.01806    -21.529317
   2.02672    -21.529372
   2.03537    -21.529421
   2.04403    -21.529438
   2.05268    -21.529489
   2.06134    -21.529541
   2.06999    -21.529599
   2.07865    -21.529680
   2.08731    -21.529721
   2.09596    -21.529807
   2.10462    -21.529888
   2.11327    -21.529943
   2.12193    -21.530037
   2.13058    -21.530039
   2.13924    -21.530096
   2.14790    -21.530172
   2.15655    -21.530230
   2.16521    -21.530289
   2.17386    -21.530348
   2.18252    -21.530392
   2.19117    -21.530451
   2.19983    -21.530551
   2.20849    -21.530610
   2.21714    -21.530674
   2.22580    -21.530673
   2.23445    -21.530731
   2.24311    -21.530737
   2.25176    -21.530786
   2.26042    -21.530843
   2.26908    -21.530899
   2.27773    -21.530968
   2.28639    -21.531065
   2.29504    -21.531119
   2.30370    -21.531182
   2.31235    -21.531234
   2.32101    -21.531329
   2.32967    -21.531366
   2.33832    -21.531461
   2.34698    -21.531449
   2.35563    -21.531495
   2.36429    -21.531539
   2.37294    -21.531581
   2.38160    -21.531684
   2.39026    -21.531725
   2.39891    -21.531747
   2.40757    -21.531798
   2.41622    -21.531827
   2.42488    -21.531861
   2.43353    -21.531876
   2.44219    -21.531925
   2.45085    -21.531953
   2.45950    -21.531965
   2.46816    -21.531988
   2.47681    -21.532026
   2.48547    -21.532069
   2.49412    -21.532085
   2.50278    -21.532087
   2.51143    -21.532110
   2.52009    -21.532119
   2.52875    -21.532132
   2.53740    -21.532172
   2.54606    -21.532173
 
 
# Band-Index    2
   2.54606    -21.532167
   2.53740    -21.532166
   2.52875    -21.532125
   2.52009    -21.532112
   2.51143    -21.532104
   2.50278    -21.532080
   2.49412    -21.532078
   2.48547    -21.532062
   2.47681    -21.532019
   2.46816    -21.531981
   2.45950    -21.531958
   2.45085    -21.531945
   2.44219    -21.531918
   2.43353    -21.531869
   2.42488    -21.531854
   2.41622    -21.531820
   2.40757    -21.531790
   2.39891    -21.531739
   2.39026    -21.531717
   2.38160    -21.531677
   2.37294    -21.531574
   2.36429    -21.531531
   2.35563    -21.531487
   2.34698    -21.531441
   2.33832    -21.531453
   2.32967    -21.531358
   2.32101    -21.531321
   2.31235    -21.531226
   2.30370    -21.531174
   2.29504    -21.531111
   2.28639    -21.531057
   2.27773    -21.530960
   2.26908    -21.530891
   2.26042    -21.530835
   2.25176    -21.530778
   2.24311    -21.530729
   2.23445    -21.530723
   2.22580    -21.530665
   2.21714    -21.530667
   2.20849    -21.530602
   2.19983    -21.530543
   2.19117    -21.530443
   2.18252    -21.530385
   2.17386    -21.530341
   2.16521    -21.530282
   2.15655    -21.530223
   2.14790    -21.530165
   2.13924    -21.530089
   2.13058    -21.530032
   2.12193    -21.530030
   2.11327    -21.529936
   2.10462    -21.529881
   2.09596    -21.529800
   2.08731    -21.529714
   2.07865    -21.529673
   2.06999    -21.529592
   2.06134    -21.529535
   2.05268    -21.529483
   2.04403    -21.529432
   2.03537    -21.529414
   2.02672    -21.529366
   2.01806    -21.529311
   2.00941    -21.529236
   2.00075    -21.529190
   1.99209    -21.529118
   1.98344    -21.529023
   1.97478    -21.528982
   1.96613    -21.528970
   1.95747    -21.528958
   1.94882    -21.528939
   1.94016    -21.528903
   1.93150    -21.528868
   1.92285    -21.528834
   1.91419    -21.528790
   1.90554    -21.528776
   1.89688    -21.528736
   1.88823    -21.528707
   1.87957    -21.528679
   1.87091    -21.528700
   1.86226    -21.528648
   1.85360    -21.528640
   1.84495    -21.528643
   1.83629    -21.528602
   1.82764    -21.528592
   1.81898    -21.528592
   1.81032    -21.528593
   1.80167    -21.528571
   1.79301    -21.528556
   1.78436    -21.528542
   1.77570    -21.528529
   1.76705    -21.528495
   1.75839    -21.528485
   1.74973    -21.528489
   1.74108    -21.528481
   1.73242    -21.528500
